Date,Close,High,Low,Open,Volume,SMA_20,RSI,MACD,Returns,BB_Upper,BB_Middle,BB_Lower,ATR,Log_Returns
2009-01-02,2.721686363220215,2.730384564060046,2.554037226218475,2.5756304672583537,746015200,,,,,,,,,
2009-01-05,2.836552858352661,2.8845386270494378,2.7804693222595778,2.79426571877622,1181608400,,,,0.04220416308238395,,,,,0.041337857998896624
2009-01-06,2.789766788482666,2.914229252603177,2.7708724008265406,2.877640546798946,1289310400,,,,-0.016493988374736812,,,,,-0.016631528690501392
2009-01-07,2.7294838428497314,2.774170305556812,2.7069904526804853,2.7534772194820034,753048800,,,,-0.021608596776550693,,,,,-0.021845481214161154
2009-01-08,2.7801692485809326,2.793665726055566,2.7003930560001206,2.7120900298397097,673500800,,,,0.018569593611619473,,,,,0.018399283865949665
2009-01-09,2.7165889739990234,2.8005640264937397,2.703393211800058,2.795465832185914,546845600,,,,-0.02286921007214293,,,,,-0.02313476698614494
2009-01-12,2.659006834030152,2.7288857765895536,2.625716607902898,2.712990156603704,617716400,,,,-0.021196485931438636,,,,,-0.0214243572396796
2009-01-13,2.6305136680603027,2.691395462126428,2.589726327697364,2.646409280691181,798397600,,,,-0.010715717464578,,,,,-0.010773544239571527
2009-01-14,2.5591349601745605,2.6167174643595703,2.540840210080983,2.586426826388225,1021664000,,,,-0.0271348933679465,,,,,-0.027509842961997065
2009-01-15,2.5006520748138428,2.522845744932796,2.400782261078231,2.4163773531078525,1831634000,,,,-0.022852599128546425,,,,,-0.023117767417020024
2009-01-16,2.469162702560425,2.5306441531327795,2.411280460137487,2.5282450147195594,1047625600,,,,-0.012592464409812876,,,,,-0.012672421436256047
2009-01-20,2.345299482345581,2.459265255971349,2.345299482345581,2.4571658348236154,919914800,,,,-0.05016405767283072,,,,,-0.051466001587770725
2009-01-21,2.4841578006744385,2.485657587304835,2.3785895195590543,2.380988657616996,1089270000,,,,0.05920707328600194,,,,,0.05752058412959512
2009-01-22,2.6500084400177,2.699194277354555,2.573831446739748,2.640411686902462,1409528400,,,,0.06676332691032516,,,,,0.06462913601034942
2009-01-23,2.6500084400177,2.6952951521815165,2.594225623248156,2.603822176151575,763770000,,46.45929911696529,,0.0,,,,0.12371317286652883,0.0
2009-01-26,2.6883976459503174,2.728285849468511,2.6482089244705675,2.6650040945179034,692238400,,48.56029919067633,,0.014486446666698516,,,,0.12059629801877274,0.014382520575663407
2009-01-27,2.7210872173309326,2.7456802359045525,2.6913962052543208,2.704891883220633,618038400,,50.347081233099914,,0.012159500076135421,,,,0.11607389029987718,0.01208616721720115
2009-01-28,2.825156688690185,2.849149273464093,2.744180613913186,2.7627750873459767,861406000,,55.63095063128184,,0.038245547844413696,,,,0.11693018785939739,0.037532315385087965
2009-01-29,2.7891674041748047,2.82935532104658,2.777170712255149,2.7918662594330987,592729200,,53.51025256602793,,-0.012738863178617499,,,,0.11230550364025693,-0.012820698229338564
2009-01-30,2.7030935287475586,2.807761477341915,2.6994943204445803,2.777171109838325,651478800,2.6624547481536864,48.726081762299486,,-0.030860060711455084,2.918397493103172,2.6624547481536864,2.4065120032042007,0.11201705030147678,-0.03134626132793615
2009-02-02,2.744479179382324,2.759174721485117,2.6662027937577357,2.672201137646014,558247200,2.663594388961792,50.99477200376622,,0.015310476753625624,2.920781904573631,2.663594388961792,2.406406873349953,0.11065668440332711,0.015194454146641306
2009-02-03,2.788567304611206,2.800563997974938,2.707592026948076,2.75677686804467,599309200,2.6611951112747194,53.36218184654514,,0.01606429575421453,2.912716703897069,2.6611951112747194,2.4096735186523697,0.10939349059072245,0.015936630376643585
2009-02-04,2.805661678314209,2.8866379479824658,2.792166200636312,2.795765408454838,808421600,2.661989855766296,54.28435428675479,,0.006130163569921798,2.9152260452070715,2.661989855766296,2.408753666325521,0.10858471578933226,0.006111450554182788
2009-02-05,2.892935514450073,2.916628176279645,2.7777698935595354,2.7822684520838354,749246400,2.6701624393463135,58.76699988669743,,0.03110632932346369,2.941487880371449,2.6701624393463135,2.398836998321178,0.11074711342724493,0.03063233194156469
2009-02-06,2.9907076358795166,2.9991051211692152,2.909131921485415,2.9097313557404125,687209600,2.6806893587112426,63.12886030889322,,0.0337968547660592,2.982854505296234,2.6806893587112426,2.3785242121262513,0.11042014866238047,0.033238291374379815
2009-02-09,3.0743815898895264,3.089077137272778,2.9841084840511125,2.9991047495838146,715010800,2.698578989505768,66.40430586180685,,0.027977978524605263,3.0460909725413616,2.698578989505768,2.351067006470174,0.11003075613090084,0.02759374513485422
2009-02-10,2.9340243339538574,3.0743818387098165,2.9109313004523463,3.038992995670997,849060800,2.712329864501953,57.22155614770058,,-0.04565381746925967,3.073967726246751,2.712329864501953,2.3506920027571554,0.11384645485422722,-0.04672879858680866
2009-02-11,2.9037322998046875,2.948418771182084,2.872241787711885,2.890236823677585,674973600,2.7259907960891723,55.43968811454227,,-0.01032439772179694,3.094804650611962,2.7259907960891723,2.3571769415663826,0.11115577832679666,-0.010378064016971396
2009-02-12,2.977210998535156,2.991606829853187,2.874041841779786,2.874041841779786,817188400,2.746894598007202,58.791790815525694,,0.025304914897082753,3.1228333264950896,2.746894598007202,2.3709558695193147,0.11161357902298268,0.024990046300952997
2009-02-13,2.9739110469818115,2.997303986085087,2.942720261299045,2.968812054564063,608977600,2.7705575466156005,58.57866338802721,,-0.0011084036552894139,3.141057755259268,2.7705575466156005,2.400057337971933,0.10754001800605832,-0.0011090183889115883
2009-02-17,2.835052013397217,2.9103296286596696,2.827554684056721,2.9052314366996623,678238400,2.7888520121574403,50.31338561257439,,-0.046692396440546236,3.1332294091677966,2.7888520121574403,2.444474615147084,0.11031261407170347,-0.047817653473865705
2009-02-18,2.8302550315856934,2.874641596048768,2.780770272833597,2.8506492102246623,684779200,2.8130997896194456,50.05065758807306,,-0.00169202603298102,3.0910189242383157,2.8130997896194456,2.5351806550005755,0.10913823615337973,-0.00169345912581089
2009-02-19,2.71838903427124,2.826656203984008,2.7024934133205183,2.800264475917614,922804400,2.824811351299286,44.24794956020906,,-0.0395250590727787,3.0632308590935935,2.824811351299286,2.5863918435049786,0.11046847773279368,-0.040327386726336886
2009-02-20,2.7351834774017334,2.7711725545464363,2.6692026684204944,2.681199361155109,750316000,2.8290701031684877,45.27376375566412,0.049637744539698936,0.006178086697217644,3.057689291830153,2.8290701031684877,2.6004509145068226,0.1098614354751614,0.006159080560468897
2009-02-23,2.607722043991089,2.759176733818222,2.5945262784481256,2.748680024781725,786982000,2.826955783367157,39.35530037178746,0.028594779078100263,-0.04660068856942845,3.0628269957897314,2.826955783367157,2.591084570944582,0.11377493689622818,-0.047721458436791556
2009-02-24,2.70669174194336,2.7258860513812686,2.6092212086814053,2.622716888417309,807105600,2.827870488166809,45.33128362227152,0.019677277438246765,0.03795254873130527,3.0617185126468986,2.827870488166809,2.5940224636867195,0.11408844193151044,0.03725006956708364
2009-02-25,2.7339835166931152,2.7867677655586607,2.676700908296421,2.694995665234189,833053200,2.8285153031349184,46.88561250297419,0.014643510008846228,0.010083074598720376,3.0612504631436392,2.8285153031349184,2.5957801431261975,0.11380118588370537,0.010032579548592364
2009-02-26,2.674901247024536,2.786767601690721,2.668003549256416,2.7591758095591192,629868400,2.8210025310516356,43.97100230008865,0.0058196819922060605,-0.021610324022743876,3.06319478384996,2.8210025310516356,2.5788102782533113,0.11415567635160535,-0.0218472466095971
2009-02-27,2.6785004138946533,2.7381823609699323,2.629314772539612,2.637112623132673,706658400,2.8154691815376283,44.198572656774246,-0.0008727817120148806,0.0013455326151277092,3.065255672578148,2.8154691815376283,2.5656826904971086,0.11377795578579927,0.0013446281973100685
2009-03-02,2.637411594390869,2.7351828145783923,2.629314028969135,2.642810305024992,770929600,2.812185084819794,42.096465574032194,-0.009383959312923018,-0.015340232650567054,3.06941143133475,2.812185084819794,2.5549587383048378,0.11321301505890342,-0.015459111337599436
2009-03-03,2.6503071784973145,2.721386151985095,2.6356116364164595,2.667102140935933,724340400,2.807476484775543,43.012534124868694,-0.014916613580779448,0.004889484877472761,3.072807943650628,2.807476484775543,2.5421450259004583,0.11125312223817001,0.004877570168365619
2009-03-04,2.7342824935913086,2.7822682488792743,2.6826983322126337,2.7045914889487936,741403600,2.8047622442245483,48.70373543380989,-0.012382438785068839,0.03168512532256984,3.0719162734135175,2.8047622442245483,2.537608215035579,0.11273226139129786,0.031193509381961845
2009-03-05,2.6644036769866943,2.7552761975316358,2.6527077055553656,2.7129890682572024,706899200,2.797699344158173,44.70299981221395,-0.01583024232059138,-0.0255565461024595,3.0717644473099313,2.797699344158173,2.5236342410064143,0.11200627786165303,-0.025888787477403266
2009-03-06,2.558236122131348,2.6512082760696827,2.4691622921753056,2.6494085721881757,1011147200,2.7809643745422363,39.40663501908684,-0.026820317930095428,-0.039846647778018496,3.070180531158219,2.7809643745422363,2.491748217926254,0.11795164264377701,-0.04066226537973613
2009-03-09,2.492555618286133,2.6272152933245274,2.4763610838551,2.5246465717307918,698297600,2.756056773662567,36.52363552355412,-0.04036460177214485,-0.025674136674489145,3.0543886457834684,2.756056773662567,2.4577249015416656,0.12030182598846632,-0.02600946935712408
2009-03-10,2.6581056118011475,2.674300942415701,2.5300437543429832,2.5453389328214158,844258800,2.7352429747581484,47.04070586587382,-0.037309957416175266,0.06641777310824692,2.9977725870319527,2.7352429747581484,2.472713362484344,0.12469064728425931,0.06430515619907343
2009-03-11,2.7795701026916504,2.821257810048632,2.686598134418269,2.6934958324744542,846372800,2.727520263195038,53.17126404248636,-0.024802057779449882,0.04569588595398133,2.9748528516796817,2.727520263195038,2.480187674710394,0.12743790092448967,0.04468258336390785
2009-03-12,2.889636754989624,2.8965352534083006,2.759175730869412,2.786167887817669,768457200,2.7268154859542846,57.924390339403764,-0.005939531011471377,0.03959844444699856,2.972208308782944,2.7268154859542846,2.4814226631256253,0.12814658818266103,0.038834527484539014
2009-03-13,2.877040386199951,2.9151298832656747,2.849448795472044,2.8881377267135964,601168400,2.7218069553375246,57.20873558408791,0.007901650353569156,-0.004359153020850215,2.950041960467524,2.7218069553375246,2.4935719502075253,0.12368476672630171,-0.004368681830154531
2009-03-16,2.8617446422576904,2.920826937212995,2.8245555050337323,2.8950348553512395,797244000,2.7161986351013185,56.29912881148721,0.017435660164362154,-0.005316485655060155,2.9239740455390257,2.7161986351013185,2.5084232246636113,0.12172667140151323,-0.005330668455692108
2009-03-17,2.988907814025879,2.989807165524587,2.85124837266008,2.8563473673103683,786646000,2.7238914251327513,61.74486397646317,0.034850699670971874,0.04443554113474879,2.9583754102067177,2.7238914251327513,2.489407440058785,0.12292896579172706,0.04347658745795225
